Gps-week,Gps-Second,Current Velocity,Latitude,Longitude,Altitude
1874,77259.5,1.0551,51.0806598858,-114.1309527106,1115.8502
1874,77259.75,0.9046,51.0806598858,-114.1309527106,1115.8502
1874,77260,1.1403,51.0806607989,-114.1309482435,1115.8502
1874,77260.25,1.1423,51.0806607989,-114.1309482435,1115.8502
1874,77260.5,1.3109,51.0806607989,-114.1309482435,1115.8502
1874,77260.75,1.2101,51.0806607989,-114.1309482435,1115.8502
1874,77261,1.1271,51.0806593914,-114.1309462723,1115.8502
1874,77261.25,1.3312,51.0806593914,-114.1309462723,1115.8502
1874,77261.5,1.5295,51.0806593914,-114.1309462723,1115.8502
1874,77261.75,1.0736,51.0806593914,-114.1309462723,1115.8502
1874,77262,1.0159,51.0806567042,-114.1309429719,1115.8502
1874,77262.25,1.3723,51.0806567042,-114.1309429719,1115.8502
1874,77262.5,1.5603,51.0806567042,-114.1309429719,1115.8502
1874,77262.75,1.3418,51.0806567042,-114.1309429719,1115.8502
1874,77263,1.1163,51.0806546955,-114.1309375742,1115.8502
1874,77263.25,1.3226,51.0806546955,-114.1309375742,1115.8502
1874,77263.5,1.4113,51.0806546955,-114.1309375742,1115.8502
1874,77263.75,1.3079,51.0806546955,-114.1309375742,1115.8502
1874,77264,1.201,51.0806567654,-114.1309534919,1115.8502
1874,77264.25,1.1341,51.0806567654,-114.1309534919,1115.8502
1874,77264.5,1.3362,51.0806567654,-114.1309534919,1115.8502
1874,77264.75,1.2136,51.0806567654,-114.1309534919,1115.8502
1874,77265,1.4055,51.0806551642,-114.1309432673,1115.8502
1874,77265.25,1.1629,51.0806551642,-114.1309432673,1115.8502
1874,77265.5,1.3858,51.0806551642,-114.1309432673,1115.8502
1874,77265.75,1.7803,51.0806551642,-114.1309432672,1115.8502
1874,77266,1.3223,51.08066222,-114.1309342955,1115.8502
1874,77266.25,1.094,51.08066222,-114.1309342955,1115.8502
1874,77266.5,2.1528,51.08066222,-114.1309342955,1115.8502
1874,77266.75,1.8643,51.08066222,-114.1309342956,1115.8502
1874,77267,1.6041,51.0806559163,-114.1308998827,1115.8502
1874,77267.25,1.6757,51.0806559163,-114.1308998827,1115.8502
1874,77267.5,1.5642,51.0806559163,-114.1308998827,1115.8502
1874,77267.75,1.5523,51.0806559163,-114.1308998827,1115.8502
1874,77268,1.5283,51.0806712788,-114.1309163441,1115.8502
1874,77268.25,1.3801,51.0806712788,-114.1309163441,1115.8502
1874,77268.5,1.5722,51.0806712788,-114.1309163441,1115.8502
1874,77268.75,1.9608,51.0806712788,-114.1309163441,1115.8502
1874,77269,1.6857,51.0806574173,-114.1309033699,1115.8502
1874,77269.25,1.5737,51.0806574173,-114.1309033699,1115.8502
1874,77269.5,1.7976,51.0806574173,-114.1309033699,1115.8502
1874,77269.75,1.4495,51.0806574173,-114.1309033699,1115.8502
1874,77270,1.5957,51.0806561119,-114.1308922523,1115.8502
1874,77270.25,1.7978,51.0806561119,-114.1308922523,1115.8502
1874,77270.5,1.9421,51.0806561119,-114.1308922523,1115.8502
1874,77270.75,2.0085,51.0806561119,-114.1308922523,1115.8502
1874,77271,1.7365,51.080653452,-114.1308890383,1115.8502
1874,77271.25,1.5854,51.080653452,-114.1308890383,1115.8502
1874,77271.5,1.7565,51.080653452,-114.1308890383,1115.8502
1874,77271.75,2.0692,51.080653452,-114.1308890383,1115.8502
1874,77272,1.5536,51.0806481699,-114.130854829,1115.8502
1874,77272.25,1.9548,51.0806481699,-114.130854829,1115.8502
1874,77272.5,1.5101,51.0806481699,-114.130854829,1115.8502
1874,77272.75,1.9678,51.0806481699,-114.130854829,1115.8502
1874,77273,2.1917,51.0806414004,-114.1308513382,1115.8502
1874,77273.25,1.4559,51.0806414005,-114.1308513382,1115.8502
1874,77273.5,2.1284,51.0806414004,-114.1308513382,1115.8502
1874,77273.75,1.5264,51.0806414004,-114.1308513382,1115.8502
1874,77274,1.9523,51.0806442481,-114.130876624,1115.8502
1874,77274.25,2.271,51.0806442481,-114.1308766241,1115.8502
1874,77274.5,2.0348,51.0806442481,-114.130876624,1115.8502
1874,77274.75,2.0935,51.0806442481,-114.130876624,1115.8502
1874,77275,1.991,51.0806256553,-114.1308395666,1115.8502
1874,77275.25,2.1986,51.0806256553,-114.1308395666,1115.8502
1874,77275.5,2.353,51.0806256553,-114.1308395666,1115.8502
1874,77275.75,2.6708,51.0806256553,-114.1308395666,1115.8502
1874,77276,2.2661,51.0806160821,-114.1308335135,1115.8502
1874,77276.25,2.3015,51.0806160821,-114.1308335135,1115.8502
